filename,category,mode,yolo_model,llm_model,configuration,success,total_latency,detection_latency,ocr_latency,depth_latency,generation_latency,num_objects,word_count,tokens_used,description,ocr_text,ocr_num_texts,ocr_engine,cache_hit,complexity,max_tokens_used,approach_version,error,timestamp
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11382627487182617,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:55.414343
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.12325620651245117,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:55.538493
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11086487770080566,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:55.649854
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.12175798416137695,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:55.774877
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11965489387512207,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:55.895287
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11617088317871094,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:56.014842
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.1095120906829834,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:56.124898
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11462807655334473,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:56.240628
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.12578296661376953,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:56.367669
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,False,0.11698412895202637,,,,,0,0,,,,,,False,,,3.5,"No OCR engine available. Install PaddleOCR: pip install paddleocr
Or install EasyOCR: pip install easyocr",2025-11-24T16:30:56.486150
