filename,category,mode,yolo_model,llm_model,configuration,success,total_latency,detection_latency,ocr_latency,depth_latency,generation_latency,num_objects,word_count,tokens_used,description,ocr_text,ocr_num_texts,ocr_engine,cache_hit,complexity,max_tokens_used,approach_version,error,timestamp
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,2.099916934967041,0.10550904273986816,1.7881393432617188e-05,,1.7331788539886475,0,25,76,I didn't detect any objects in the image. Please provide a description of the text in the image so I can help explain its meaning.,,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:27:54.090086
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,1.2062740325927734,0.07333588600158691,4.8160552978515625e-05,,1.1100718975067139,1,39,105,A clock is detected at the center of the image with a confidence level of 0.42. This means that the system has identified and located a clock in the middle of the image with a moderate level of certainty.,,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:27:55.298231
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,0.1317460536956787,0.08168506622314453,4.792213439941406e-05,,1.7331788539886475,0,25,76,I didn't detect any objects in the image. Please provide a description of the text in the image so I can help explain its meaning.,,0,paddleocr,True,simple,,3.5,,2025-11-24T21:27:55.430732
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,1.6428170204162598,0.05900216102600098,1.1920928955078125e-05,,1.5651907920837402,2,46,131,"There are 2 books detected in the image. The confidence levels for the detection of the books are 0.47 and 0.27, indicating the certainty of the AI in identifying them. The text provides information about the presence of the books and their positions within the image.",,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:27:57.074443
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,1.6546258926391602,0.07412385940551758,1.6927719116210938e-05,,1.5613579750061035,2,48,153,"In the image, there are two objects detected: a clock at the center bottom with a confidence level of 0.33 and a truck at the left bottom with a confidence level of 0.26. The text also highlights the safety-critical element, which is the truck at the left bottom",,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:27:58.730736
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,0.9671030044555664,0.17298030853271484,8.96453857421875e-05,,0.7315850257873535,2,40,124,"Two books have been detected in the image, one at the center and the other at the left center. The confidence levels for these detections are 0.40 and 0.25, indicating the likelihood of the objects being correctly identified as books.",,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:27:59.698736
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,0.06986188888549805,0.05041790008544922,3.3855438232421875e-05,,1.7331788539886475,0,25,76,I didn't detect any objects in the image. Please provide a description of the text in the image so I can help explain its meaning.,,0,paddleocr,True,simple,,3.5,,2025-11-24T21:27:59.768745
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,1.2780499458312988,0.06764101982116699,1.2159347534179688e-05,,1.1934418678283691,7,52,263,"The image contains 6 people located at various positions, with different confidence levels for each detection. The highest confidence is for a person at the center bottom. Additionally, there is a TV detected at the right center of the image. The safety-critical elements are the people detected in specific positions with their",,0,paddleocr,False,simple,60,3.5,,2025-11-24T21:28:01.048335
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,0.10298800468444824,0.06747269630432129,4.506111145019531e-05,,1.7331788539886475,0,25,76,I didn't detect any objects in the image. Please provide a description of the text in the image so I can help explain its meaning.,,0,paddleocr,True,simple,,3.5,,2025-11-24T21:28:01.152478
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,ocr,yolov8n,gpt-3.5-turbo,YOLOv8N+PaddleOCR+gpt-3.5-turbo+Cache+Adaptive,True,0.08111691474914551,0.06261110305786133,1.3113021850585938e-05,,1.7331788539886475,0,25,76,I didn't detect any objects in the image. Please provide a description of the text in the image so I can help explain its meaning.,,0,paddleocr,True,simple,,3.5,,2025-11-24T21:28:01.233914
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.6130480766296387,0.07167291641235352,,0.6110961437225342,1.177152156829834,1,44,191,There is a dining table located at the center bottom of the scene at a distance of approximately 1.19 meters. The depth data indicates a mean distance of 68.2 with a range from 0.0 to 255.0. No other objects are detected in the scene.,,,,True,simple,,3.5,,2025-11-24T21:28:01.847252
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.3265242576599121,0.07461905479431152,,0.324476957321167,1.417968988418579,2,69,253,"There are two objects detected in the scene:

1. A chair is located at the left center, approximately 14.0 units away.
2. A potted plant is at the center, around 31.0 units away.

Based on the depth data provided, the mean distance in the scene is 113.2 units, with a range from 0.0 to 255.0 units. 

For navigation assistance:
- The chair is approximately 14.0 units to your left",,,,True,simple,,3.5,,2025-11-24T21:28:02.174209
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.37152576446533203,0.06734013557434082,,0.37056994438171387,0.9809451103210449,1,50,211,"There is a person located at the left center of the scene, approximately 92.0 units away. The person is a safety-critical element and is estimated to be about 92.0 units away from the current position. Please be cautious of the person at the left center as you navigate the area.",,,,True,simple,,3.5,,2025-11-24T21:28:02.546244
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.553154706954956,0.08381128311157227,,0.5515797138214111,1.1308619976043701,3,62,254,"There are three objects in the scene:
1. A dining table is located at the bottom right approximately 1.66 meters away.
2. A potted plant is in the center right about 1.37 meters away.
3. A vase is also in the center right around 1.40 meters away.

Please be cautious of the objects in your path as you navigate through the space.",,,,True,simple,,3.5,,2025-11-24T21:28:03.099775
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.3340580463409424,0.16904568672180176,,0.3329041004180908,0.925570011138916,0,37,160,"The area is clear of any obstacles. The average distance in the scene is 120.4 units, with the closest point being at 0.0 units and the farthest point at 255.0 units. It is safe to move forward.",,,,True,simple,,3.5,,2025-11-24T21:28:03.434750
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.42517805099487305,0.28548216819763184,,0.41324782371520996,1.4124038219451904,10,110,407,"Navigating the scene:
- There is a bowl 166.0 units away at the right center.
- Two chairs are located at the center bottom and are 64.0 units away.
- A couch is situated at the center and is 61.0 units away.
- A dining table is at the right bottom and is 208.0 units away.
- There are five potted plants at various distances: 27.0 units away at the left center, two at 64.0 units away at the right center, and two at 61.0 units away at the center.

Please be cautious of the objects in your path, especially the chairs and the couch, which are closer to you.",,,,True,medium,,3.5,,2025-11-24T21:28:03.860454
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,1.4453649520874023,1.0950279235839844,,1.426048994064331,0.9064140319824219,0,36,159,"The area ahead is clear with no objects detected. The depth data indicates a mean distance of 115.6, ranging from 0.0 to 255.0. It is a spacious environment with no immediate obstacles. Please proceed with caution.",,,,True,simple,,3.5,,2025-11-24T21:28:05.306490
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,depth,yolov8n,gpt-3.5-turbo,YOLOv8N+Depth-Anything+gpt-3.5-turbo+Cache+Adaptive,True,0.19427824020385742,0.09953188896179199,,0.19248270988464355,1.2226710319519043,5,85,337,"There are 2 couches approximately 40.0 units away at the right center, with one having a confidence of 0.55 and the other 0.27. A chair is also present at the right center, around 41.0 units away with a confidence of 0.27. In the center, there is a potted plant about 29.0 units away with a confidence of 0.69, and a vase approximately 27.0 units away with a confidence of 0.26. The mean depth in the scene is 80.8 units, ranging from 0.0 to 255.0 units.",,,,True,medium,,3.5,,2025-11-24T21:28:05.501641
