filename,category,prompt_mode,timestamp,approach_1_5_success,approach_1_5_description,approach_1_5_latency,approach_1_5_tokens,approach_1_5_cost,approach_1_5_error,approach_2_5_success,approach_2_5_description,approach_2_5_latency,approach_2_5_detection_latency,approach_2_5_generation_latency,approach_2_5_tokens,approach_2_5_num_objects,approach_2_5_error,approach_3_5_success,approach_3_5_description,approach_3_5_latency,approach_3_5_detection_latency,approach_3_5_ocr_latency,approach_3_5_depth_latency,approach_3_5_generation_latency,approach_3_5_tokens,approach_3_5_num_objects,approach_3_5_mode,approach_3_5_error
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,real_world,2025-12-04T19:29:48.086158,True,There's a door ahead with a ramp leading up to it. The path is clear and safe to walk.,2.4574573040008545,1105,0.011470000000000001,,True,"Dining table directly ahead, center bottom. Move around the table to continue walking safely.",0.9138548374176025,0.08026599884033203,0.7937819957733154,322,1,,True,There is a dining table 119 meters ahead at the center bottom. Please proceed with caution to avoid any obstacles.,1.1636230945587158,0.06241202354431152,,0.6669039726257324,1.0409319400787354,100,1,depth,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,real_world,2025-12-04T19:29:52.623523,True,You're in an office hallway. Safe to walk straight ahead. Human Resources is on your left. Cozy seating area on the right.,2.028773784637451,1110,0.01162,,True,"Two couches and a chair on the right, a plant and vase in the center. Safe path ahead.",0.7379119396209717,0.07598209381103516,0.6348371505737305,379,5,,True,"Ahead, there's a potted plant in the center, slightly to the right. Be cautious of the chair also on the right.",1.1888411045074463,0.08281397819519043,,0.24836301803588867,0.9285192489624023,472,5,depth,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,real_world,2025-12-04T19:29:56.581845,True,Colorful hallway with playful floor designs. Follow the path with footprints and paw prints. Safe to walk ahead.,1.7824478149414062,1106,0.0115,,True,No objects detected in the image. No critical elements or immediate concerns present. The scene is likely empty or contains elements not detectable by the system. No specific actions needed based on the information provided.,0.1218559741973877,0.10010910034179688,2.0715620517730713,241,0,,True,"Safe path ahead with clear walkway. Building on the left side farther away. Keep walking straight, no obstacles in front.",0.9947621822357178,0.11818599700927734,,0.23430180549621582,0.73934006690979,373,0,depth,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,real_world,2025-12-04T19:29:59.481614,True,Crosswalk ahead with bike lanes. Sidewalk is clear to your right. Watch for traffic from the left.,1.2561280727386475,1106,0.0115,,True,"Ahead, watch out for cars on the right and left. Traffic lights at center and left. Be cautious.",0.7492289543151855,0.07959103584289551,0.6383321285247803,509,8,,True,Hey there! Watch out for 6 cars ahead - alternating between left and right. Closer car on the right side. 2 traffic lights further away. Stay safe and keep going straight.,1.1291940212249756,0.08309507369995117,,0.23720192909240723,0.8764598369598389,465,8,depth,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,real_world,2025-12-04T19:30:02.618524,True,There's a ramp and stairs leading to double doors ahead. Use the ramp on the left for a smooth path.,2.04180908203125,766,0.0081,,True,No objects detected in the image. No critical elements or immediate concerns present. The scene is likely empty or contains elements not detectable by the system. No specific actions needed based on the information provided.,0.08947396278381348,0.06580305099487305,2.0715620517730713,241,0,,True,"Hey there! There's a clear path ahead, so walk forward confidently. The area is empty, so you're all set. Just keep moving straight ahead, and you're good to go!",1.4479432106018066,0.06017780303955078,,0.43404316902160645,0.9958410263061523,387,0,depth,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,real_world,2025-12-04T19:30:06.199349,True,You're in a hallway. Stairs are ahead on the left. A cabinet is on the right. Walk straight carefully.,1.5360908508300781,1108,0.01156,,True,Potted plant directly ahead. Move slightly left to avoid. Chair to your left. Watch out.,0.7236573696136475,0.06919121742248535,0.6072731018066406,338,2,,True,"There is a chair located 14 meters to your left. Additionally, there is a potted plant 31 meters directly ahead of you. Please proceed with caution to avoid any obstacles.",0.3244788646697998,0.06413507461547852,,0.3113999366760254,1.264397144317627,132,2,depth,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,real_world,2025-12-04T19:30:08.785911,True,Crosswalk ahead. Person walking across. Cars parked on the right. Safe to continue straight.,1.6165409088134766,1103,0.01141,,True,"Person in front. Cars crowded ahead, some moving. Watch for traffic before crossing.",0.6876711845397949,0.06831002235412598,0.5785579681396484,549,11,,True,"Hey there! In front of you, there's a person standing right ahead. Further away, there are 7 cars scattered around. The person is closest to you, so be careful and mind their presence as you navigate.",1.3115441799163818,0.07056307792663574,,0.2634742259979248,1.010972261428833,482,11,depth,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,real_world,2025-12-04T19:30:12.404487,True,You're in a room with a glass door ahead leading outside. There's a black chair on the left. Floor is clear.,1.641922950744629,1108,0.01156,,True,Chair at bottom left. Safe to walk straight. No obstacles ahead. Approach with caution.,0.6936509609222412,0.08311295509338379,0.5680758953094482,321,1,,True,Hey there! There's a chair close by on your left. Watch out for it as you move ahead. It's the most important thing for you to be cautious of at the moment.,1.327787160873413,0.09197115898132324,,0.34116196632385254,0.9240031242370605,405,1,depth,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,real_world,2025-12-04T19:30:16.071866,True,Stairs ahead on the left. Open space to the right. Walk carefully around the stairs.,1.3592448234558105,593,0.00631,,True,"Watch out for a dining table on the right, potted plant and vase in the center. Walk carefully around them.",0.7355470657348633,0.059674978256225586,0.6378982067108154,356,3,,True,"There are three objects detected in the environment:

1. A dining table is located 1.66 meters ahead to the right.
2. A potted plant is located 1.37 meters ahead to the right.
3. A vase is located 1.40 meters ahead to the right.

Please proceed with caution to avoid any collisions with the detected objects.",0.1393909454345703,0.06728506088256836,,0.13773417472839355,0.6844260692596436,187,3,depth,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,real_world,2025-12-04T19:30:18.308034,True,There's a menu board in front of you. It's safe to walk around. No obstacles nearby.,1.4717230796813965,1103,0.01141,,True,No objects detected in the image. No critical elements or immediate concerns present. The scene is likely empty or contains elements not detectable by the system. No specific actions needed based on the information provided.,0.11848592758178711,0.08321475982666016,2.0715620517730713,241,0,,True,"Safe path ahead. Sign reads ""Pedestrian Crossing."" Another sign says ""Watch for Cars."" Street sign says ""Maple Avenue."" No obstacles in sight. You're good to keep walking straight.",1.3329746723175049,0.07597088813781738,0.38439393043518066,,0.9372289180755615,424,0,ocr,
