filename,category,yolo_model,llm_model,approach_version,configuration,description,detection_latency,generation_latency,total_latency,num_objects_detected,objects_detected,avg_confidence,tokens_used,success,error,timestamp
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,"The image contains a bird at the right center, a person at the left center, and two sports balls at the left top and left center. The person at the left center is the most critical element in the scene. Be cautious of the person's presence and location to avoid potential collisions or obstacles.",0.11915922164916992,1.2796380519866943,1.8186707496643066,4,"[{'class': 'person', 'bbox': [161.21444702148438, 406.9017639160156, 367.2586669921875, 614.3082885742188], 'confidence': 0.6833688616752625, 'h_position': 'left', 'v_position': 'center', 'position': 'left center', 'size': 'medium', 'area_ratio': 0.029677023654513888}, {'class': 'bird', 'bbox': [1191.8929443359375, 334.3650817871094, 1316.4940185546875, 623.5653686523438], 'confidence': 0.5937118530273438, 'h_position': 'right', 'v_position': 'center', 'position': 'right center', 'size': 'medium', 'area_ratio': 0.025024074978298613}, {'class': 'sports ball', 'bbox': [213.967529296875, 262.5008239746094, 271.9207458496094, 319.9893798828125], 'confidence': 0.3326368033885956, 'h_position': 'left', 'v_position': 'top', 'position': 'left top', 'size': 'small', 'area_ratio': 0.002313643561469184}, {'class': 'sports ball', 'bbox': [395.7857360839844, 364.1171875, 453.6320495605469, 420.234130859375], 'confidence': 0.27571290731430054, 'h_position': 'left', 'v_position': 'center', 'position': 'left center', 'size': 'small', 'area_ratio': 0.0022542765299479166}]",0.4713576063513756,333,True,,2025-11-24T01:10:35.296942
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,A person is detected at the left center of the image with low confidence. No other objects or critical elements were detected. Be cautious of the person in the left center area. No immediate threats or obstacles are present.,0.0758819580078125,1.2127962112426758,1.3225078582763672,1,"[{'class': 'person', 'bbox': [341.88397216796875, 536.436767578125, 579.5812377929688, 753.6005859375], 'confidence': 0.2561365067958832, 'h_position': 'left', 'v_position': 'center', 'position': 'left center', 'size': 'medium', 'area_ratio': 0.024893540747371722}]",0.2561365067958832,276,True,,2025-11-24T01:10:37.125916
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,"In the image, there are two people located at the left center and right center positions. The person on the left side is a safety concern with a confidence of 0.50. Additionally, there are two teddy bears at the right bottom of the image. 

Immediate Concerns:
- Be cautious of the person at the left center due to safety concerns.

Actionable Information:
- Be aware of the two people and two teddy bears in the scene.
- Exercise caution around the person located at the left center.
- No other safety-critical elements detected.",0.10078787803649902,1.9689629077911377,2.109326124191284,4,"[{'class': 'teddy bear', 'bbox': [1643.066162109375, 758.59716796875, 1919.31591796875, 1079.064697265625], 'confidence': 0.6250104904174805, 'h_position': 'right', 'v_position': 'bottom', 'position': 'right bottom', 'size': 'medium', 'area_ratio': 0.0426934211636767}, {'class': 'person', 'bbox': [436.0095520019531, 479.1357421875, 570.189208984375, 747.45654296875], 'confidence': 0.49822568893432617, 'h_position': 'left', 'v_position': 'center', 'position': 'left center', 'size': 'medium', 'area_ratio': 0.017362650176625194}, {'class': 'teddy bear', 'bbox': [1730.391357421875, 756.0503540039062, 1919.571533203125, 1077.3802490234375], 'confidence': 0.433637410402298, 'h_position': 'right', 'v_position': 'bottom', 'position': 'right bottom', 'size': 'medium', 'area_ratio': 0.029315801549840856}, {'class': 'person', 'bbox': [1314.0704345703125, 122.95143127441406, 1525.479248046875, 623.8903198242188], 'confidence': 0.4237489104270935, 'h_position': 'right', 'v_position': 'center', 'position': 'right center', 'size': 'large', 'area_ratio': 0.05107199963228202}]",0.49515562504529953,401,True,,2025-11-24T01:10:39.740163
StardewValley_StardewValleyFair_Festival.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,There is a clock located at the center bottom of the image. No other objects were detected. The clock may be important for timekeeping or scheduling. There are no immediate safety concerns or obstacles in the scene. No urgent actions are required based on the information provided.,0.06881999969482422,0.7257828712463379,0.8398311138153076,1,"[{'class': 'clock', 'bbox': [460.08203125, 400.6475524902344, 699.8363037109375, 614.5533447265625], 'confidence': 0.45299801230430603, 'h_position': 'center', 'v_position': 'bottom', 'position': 'center bottom', 'size': 'large', 'area_ratio': 0.05564759996202257}]",0.45299801230430603,267,True,,2025-11-24T01:10:41.087856
StardewValley_TownSquare_VillageCenter.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,"In the image, there is a clock located at the center top. The critical information is the presence of the clock at the top center. There are no immediate concerns or safety-critical elements mentioned. The user should be aware of the clock's location for timekeeping or scheduling purposes.",0.06305694580078125,0.8536150455474854,0.954301118850708,1,"[{'class': 'clock', 'bbox': [521.6539306640625, 42.87847900390625, 636.3448486328125, 152.0843505859375], 'confidence': 0.3042956590652466, 'h_position': 'center', 'v_position': 'top', 'position': 'center top', 'size': 'medium', 'area_ratio': 0.01359041002061632}]",0.3042956590652466,271,True,,2025-11-24T01:10:42.547168
StardewValley_Winter_IceFishingContest.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,No objects detected in the image. It appears to be an empty space with no identifiable elements or obstacles. No safety-critical elements or immediate concerns are present. The user can move freely without any obstacles in their path.,0.05986785888671875,0.8387088775634766,0.9361729621887207,0,[],0.0,245,True,,2025-11-24T01:10:43.988233
four_in_a_row-opp_move_1.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,"No objects detected in the image. The scene is empty. No obstacles, stairs, doors, or crosswalks are present. No critical elements or immediate concerns. No specific actions are needed from the user.",0.0853271484375,0.7024030685424805,0.8323221206665039,0,[],0.0,243,True,,2025-11-24T01:10:45.325031
four_in_a_row-opp_move_4.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,"No objects are detected in the image. It appears to be an empty scene with no discernible elements or structures present. There are no obstacles, stairs, doors, or crosswalks visible. The user can proceed confidently as there are no immediate concerns or safety-critical elements in the scene.",0.0842289924621582,1.1670749187469482,1.329941749572754,0,[],0.0,260,True,,2025-11-24T01:10:47.161191
four_in_a_row-opp_won.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,No objects are detected in the image. There is no specific information to convey about the scene. It appears to be an empty space with no identifiable elements or potential hazards. No actions are needed based on the current image content.,0.08628010749816895,0.5399889945983887,0.6627821922302246,0,[],0.0,246,True,,2025-11-24T01:10:48.329679
tic_tac_toe-opp_move_1.png,gaming,yolov8n,gpt-3.5-turbo,2.5,YOLOv8N+gpt-3.5-turbo,The image contains an airplane at the right bottom with a confidence of 0.82 and scissors also at the right bottom with a confidence of 0.25. The airplane is closer to the viewer than the scissors. There are no safety-critical elements or urgent concerns in the image. The user should be aware of the presence of an airplane and scissors in the bottom right corner of the image.,0.0872046947479248,0.8643159866333008,0.9905269145965576,2,"[{'class': 'airplane', 'bbox': [997.6760864257812, 932.5116577148438, 1255.11767578125, 1189.7060546875], 'confidence': 0.8183127045631409, 'h_position': 'right', 'v_position': 'bottom', 'position': 'right bottom', 'size': 'medium', 'area_ratio': 0.03631363074710753}, {'class': 'scissors', 'bbox': [998.3626708984375, 932.2716674804688, 1254.9483642578125, 1189.421875], 'confidence': 0.2528543174266815, 'h_position': 'right', 'v_position': 'bottom', 'position': 'right bottom', 'size': 'medium', 'area_ratio': 0.036186683920603376}]",0.5355835109949112,307,True,,2025-11-24T01:10:49.821496
