filename,category,subcategory,key_objects,safety_critical,spatial_layout,text_content,description_requirements,difficulty
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,,,,,,,
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,,,,,,,
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,,,,,,,
StardewValley_StardewValleyFair_Festival.png,gaming,,,,,,,
StardewValley_TownSquare_VillageCenter.png,gaming,,,,,,,
StardewValley_Winter_IceFishingContest.png,gaming,,,,,,,
four_in_a_row-opp_move_1.png,gaming,,,,,,,
four_in_a_row-opp_move_4.png,gaming,,,,,,,
four_in_a_row-opp_won.png,gaming,,,,,,,
tic_tac_toe-opp_move_1.png,gaming,,,,,,,
tic_tac_toe-opp_move_2.png,gaming,,,,,,,
tic_tac_toe-user_won.png,gaming,,,,,,,
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,,,,,,,
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,,,,,,,
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,,,,,,,
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,,,,,,,
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,,,,,,,
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,,,,,,,
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,,,,,,,
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,,,,,,,
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,,,,,,,
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,,,,,,,
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,,,,,,,
OUTDOOR_Navigation_ResidentialEntrance_StairsAndRailing_HouseNumber.png,outdoor,,,,,,,
OUTDOOR_Navigation_StreetsideBikeRack_TrafficBarrier_UrbanStreet.png,outdoor,,,,,,,
OUTDOOR_CityCrosswalk_OverheadView_CrowdCrossing_Taxis.jpg,outdoor,,,,,,,
OUTDOOR_CrowdedStreetMarket_ClothingVendors_UrbanSetting_Daylight.jpg,outdoor,,,,,,,
OUTDOOR_Navigation_ComplexIntersection_BikeLane_PedestrianCrossing.jpg,outdoor,,,,,,,
OUTDOOR_Navigation_ConcreteSidewalk_UtilityPoles_ResidentialStreet.jpg,outdoor,,,,,,,
OUTDOOR_Navigation_ModularAccessibilityRamp_Stairs_CommercialBuilding.jpg,outdoor,,,,,,,
OUTDOOR_Navigation_PedestrianCrosswalk_SuburbanStreet_PersonCrossing.jpg,outdoor,,,,,,,
OUTDOOR_Navigation_StonePatio_CurvedStairs_MultiLevelAccess.jpg,outdoor,,,,,,,
TEXT_AccessRules_PoolGateSign_RegulatoryText_ApartmentComplex.jpg,text,,,,,,,
TEXT_CarDashboard_InstrumentCluster_WarningLights_ActiveDisplay.jpg,text,,,,,,,
TEXT_ChalkboardMenu_HandwrittenCoffeePrices_CafeDrinks.jpg,text,,,,,,,
TEXT_MenuBoard_RestaurantPricing_MultipleSections_MountedSign.jpg,text,,,,,,,
TEXT_Navigation_SupermarketEntrance_KrogerFacade_WayfindingSign.jpg,text,,,,,,,
TEXT_OpenBook_PrintedParagraphs_YellowedPaper_SpineCurvature.jpg,text,,,,,,,
TEXT_RetailShelf_CandyBarProducts_PricingLabels_DenseDisplay.jpg,text,,,,,,,
TEXT_TimesSquare_DigitalBillboards_Night_AdvertisingDensity.jpg,text,,,,,,,
TEXT_WeatheredWarningSign_NoParking_Roadside_FadingPrint.jpg,text,,,,,,,
TEXT_WoodenCrate_StencilText_BAKERAndCo_VintageCocoa.jpg,text,,,,,,,
