filename,category,model,configuration,success,description,latency,total_latency,device,error,timestamp
SlayTheSpire_Defect_vs_Sentry_ZapPlus.png,gaming,blip2,blip2,True,,11.185741662979126,11.185742616653442,MPS (Metal),,2025-11-23T16:15:03.738773
SlayTheSpire_Silent_vs_Exploders_Act2_Combat.png,gaming,blip2,blip2,True,,6.777713298797607,6.777713298797607,MPS (Metal),,2025-11-23T16:15:15.611314
SlayTheSpire_Watcher_vs_Cultist_LargeWolf_Act3.png,gaming,blip2,blip2,True,,30.122817039489746,30.122817039489746,MPS (Metal),,2025-11-23T16:15:23.303790
StardewValley_StardewValleyFair_Festival.png,gaming,blip2,blip2,True,,18.870553016662598,18.870553016662598,MPS (Metal),,2025-11-23T16:15:54.070397
StardewValley_TownSquare_VillageCenter.png,gaming,blip2,blip2,True,,21.934433937072754,21.934433937072754,MPS (Metal),,2025-11-23T16:16:13.509773
StardewValley_Winter_IceFishingContest.png,gaming,blip2,blip2,True,,23.72272276878357,23.72272276878357,MPS (Metal),,2025-11-23T16:16:35.988626
four_in_a_row-opp_move_1.png,gaming,blip2,blip2,True,,21.61343502998352,21.61343502998352,MPS (Metal),,2025-11-23T16:17:00.255002
four_in_a_row-opp_move_4.png,gaming,blip2,blip2,True,"For example, a blind person might need to know the location of the object in the image, the size of the object in the image, the color of the object in the image, the shape of the object in the image",36.647791147232056,36.647791147232056,MPS (Metal),,2025-11-23T16:17:22.545134
four_in_a_row-opp_won.png,gaming,blip2,blip2,True,"For example, a blind person might need to know the location of the object in the image, the size of the object in the image, the color of the object in the image, the shape of the object in the image",36.90798997879028,36.90798997879028,MPS (Metal),,2025-11-23T16:17:59.883789
tic_tac_toe-opp_move_1.png,gaming,blip2,blip2,True,What is the image of a blind person looking at? What is the image of a blind person looking at? What is the image of a blind person looking at? What is the image of a blind person looking at? What,36.97960305213928,36.97960305213928,MPS (Metal),,2025-11-23T16:18:37.393552
tic_tac_toe-opp_move_2.png,gaming,blip2,blip2,True,What is the image of a blind person doing? What is the image of a blind person doing? What is the image of a blind person doing? What is the image of a blind person doing? What is the image of,39.211073875427246,39.211073875427246,MPS (Metal),,2025-11-23T16:19:14.984352
tic_tac_toe-user_won.png,gaming,blip2,blip2,True,,39.10525107383728,39.10525107383728,MPS (Metal),,2025-11-23T16:19:54.795462
INDOOR_Navigation_AccessibilityRamp_EntryDoor_BrickFacade.jpg,indoor,blip2,blip2,True,"Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions.",45.55686616897583,45.55686616897583,MPS (Metal),,2025-11-23T16:20:34.654744
INDOOR_Navigation_ArchwayEntrance_Staircase_Wayfinding.jpg,indoor,blip2,blip2,True,"Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions.",50.98173785209656,50.98173785209656,MPS (Metal),,2025-11-23T16:21:20.776052
INDOOR_Navigation_BlindManWithCane_TactileSignage_Hallway.jpg,indoor,blip2,blip2,True,What does a blind person need to know to navigate or make decisions? What does a blind person need to know to navigate or make decisions? What does a blind person need to know to navigate or make decisions?,53.69630408287048,53.69630408287048,MPS (Metal),,2025-11-23T16:22:12.703233
INDOOR_Navigation_CurvingStaircase_FoyerAccess_HardwoodFloor.jpg,indoor,blip2,blip2,True,"Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions.",33.75913596153259,33.75913596153259,MPS (Metal),,2025-11-23T16:23:06.994743
INDOOR_Navigation_ElevatorLobby_LongHallway_MarbleFlooring.jpg,indoor,blip2,blip2,True,"Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions.",23.56750226020813,23.56750226020813,MPS (Metal),,2025-11-23T16:23:41.353330
INDOOR_Navigation_LivingRoom_HallwayEntrance_MAINSTSign.jpg,indoor,blip2,blip2,True,"Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions. Desc",61.23909592628479,61.23909592628479,MPS (Metal),,2025-11-23T16:24:05.445054
INDOOR_Navigation_LongHallway_AccessPoints_ModernDesign.jpg,indoor,blip2,blip2,True,"Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe this image in detail, focusing on what a blind person needs to know to navigate or make decisions.",58.42634677886963,58.42634677886963,MPS (Metal),,2025-11-23T16:25:07.279873
INDOOR_Navigation_OfficeLobby_HRSignage_GlassWalledHallway.jpg,indoor,blip2,blip2,True,"Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions. Describe the image in detail, focusing on what a blind person needs to know to navigate or make decisions.",54.68646693229675,54.68646693229675,MPS (Metal),,2025-11-23T16:26:06.812290
INDOOR_Navigation_SensoryPath_HospitalClinic_FloorDecals.jpg,indoor,blip2,blip2,True,,48.3117401599884,48.3117401599884,MPS (Metal),,2025-11-23T16:27:02.103897
INDOOR_Navigation_SlatPartition_GlassDoors_EntranceExit.jpg,indoor,blip2,blip2,True,,33.56613802909851,33.56613802909851,MPS (Metal),,2025-11-23T16:27:51.041829
OUTDOOR_EmptyParkingLot_Night_BlueStreetlights_HighContrast.png,outdoor,blip2,blip2,True,,16.1158549785614,16.1158549785614,MPS (Metal),,2025-11-23T16:28:25.273389
